	 about	 city	 country	 category	 description	 cluster
227	0	70	9	99	4	1
228	5	12	30	59	0	3
229	4	88	30	16	5	0
230	6	65	9	77	5	0
231	5	50	13	24	5	2
232	0	52	9	24	5	0
233	4	49	15	84	5	0
234	2	51	15	24	2	1
235	0	10	25	20	5	0
236	5	69	30	20	5	2
237	5	0	0	24	2	3
238	5	26	20	59	5	2
239	0	73	15	47	5	0
240	0	65	9	92	0	1
241	3	50	30	36	3	1
242	0	74	15	10	3	1
243	0	17	30	53	0	1
244	5	44	29	20	5	2
245	4	51	15	61	0	1
246	7	73	21	77	3	1
247	5	37	15	70	4	3
248	5	88	9	24	5	2
249	5	57	30	24	4	3
250	6	83	15	85	6	1
251	4	14	13	76	0	1
252	4	63	30	66	4	1
253	5	74	15	46	2	3
254	5	26	6	77	0	3
255	6	0	0	40	5	0
256	0	15	0	60	5	0
257	5	23	14	20	2	3
258	6	1	19	39	5	0
259	5	22	15	3	5	2
260	5	39	22	24	5	2
261	5	84	11	24	5	2
262	3	31	0	24	5	0
263	4	47	21	97	0	1
264	5	51	0	55	5	2
265	5	51	30	54	1	3
266	0	31	30	56	0	1
267	2	61	15	4	4	1
268	1	34	15	10	5	0
269	4	53	5	24	4	1
270	5	65	9	1	5	2
271	4	75	15	46	5	0
272	2	66	1	11	4	1
273	4	71	15	15	4	1
274	8	55	24	83	0	1
275	6	12	15	27	0	1
276	5	36	12	85	5	2
277	5	0	22	82	0	3
278	5	74	14	67	5	2
279	0	70	15	42	5	0
280	0	65	30	77	0	1
281	5	56	21	24	5	2
282	5	89	7	20	5	2
283	5	62	30	101	0	3
284	4	27	10	21	0	1
285	6	65	22	11	6	1
286	3	0	15	6	3	1
287	5	88	30	3	5	2
288	5	49	10	46	5	2
289	4	31	11	33	5	0
290	5	42	22	20	5	2
291	0	51	5	37	4	1
292	5	31	11	31	5	2
293	5	74	21	77	5	2
294	0	84	7	75	0	1
295	3	73	21	18	0	1
296	4	18	0	7	5	0
297	0	41	12	25	0	1
298	5	51	28	25	4	3
299	4	90	15	70	5	0
300	5	86	30	48	5	2
301	0	65	15	4	5	0
302	2	70	13	99	2	1
303	7	74	26	4	5	0
304	0	8	21	79	0	1
305	5	85	15	75	5	2
306	1	74	1	46	5	0
307	5	48	15	24	5	2
308	5	51	15	91	5	2
309	0	30	15	85	5	0
310	4	46	26	73	6	1
311	5	47	5	11	4	3
312	4	53	9	8	5	0
313	4	16	28	23	5	0
314	4	16	28	23	5	0
