	 about	 city	 country	 category	 description	 cluster	 user_id
95	accessories	Reggio nell Emilia	Italy	Clothing (Brand)	fashion	0	327471960682448
96	fashion	Poznan	France	Community	fashion	2	326481374363862
97	blog	DÃ¼sseldorf	Canada	Musician/Band	fashion	0	316329675044371
98	blog	Mato Grosso	United States	News & Media Website	blog	1	315778148528990
99	fashion	GlyfÃ¡das	Hong Kong	Public Figure	accessories	3	313279972186269
100	blog	Paris	Italy	Personal Blog	fashion	0	310007275682587
101	beauty	DÃ¼sseldorf	Malaysia	Community	accessories	1	309982132717114
102	fashion	Bursa	United States	Clothing (Brand)	accessories	3	203040259718568
103	car	Poznan	Poland	Car Dealership	car	1	202516569761044
104	accessories	Naples	Italy	Newspaper	accessories	1	202187977984
105	car	Bologna	Brazil	News & Media Website	design	1	201103700086945
106	design	Jersey City	United States	Driving School	design	1	200940096700395
107	accessories	Hof bei Salzburg	Austria	Athlete	fashion	0	200491443396201
108	accessories	New York	United States	Bags/Luggage	accessories	1	200289003370791
109	fashion	Hong Kong	Brazil	Magazine	fashion	2	199595210183987
110	fashion	Milan	Netherlands	Community	accessories	3	1995221607371225
111	fashion	Ad Dawha	Italy	Clothing (Brand)	fashion	2	198923923509735
112	accessories	Porto	Portugal	Business Consultant	design	1	1975474889344363
113	fashion	Naples	Italy	Personal Blog	fashion	2	39721228426
114	fashion	Paris	Italy	Media/News Company	fashion	2	394630784236385
115	accessories	Locorotondo 	Serbia	Product/Service	design	1	391128151032547
116	accessories	Bursa	United States	Actor	fashion	0	375057419290705
117	accessories	Erbusco	Bangladesh	Wine/Spirits	fashion	0	370179653135471
118	fashion	Montecosaro	Italy	Hair Salon	hair	3	362151307135060
119	food	Bologna	Italy	Blogger	fashion	0	361664460561273
120	design	Nice	Portugal	Entertainment Website	design	1	359413750739003
121	design	Dhaka	Malaysia	Furniture	fashion	0	357483477673200
122	accessories	Rome	Italy	Burger Restaurant	food	1	355668264514287
123	design	Hof bei Salzburg	Italy	News & Media Website	blog	1	354212674655607
124	car	Des Plaines	United States	Transportation Service	design	1	341015170708
125	accessories	Milan	Italy	News & Media Website	accessories	1	340330389636698
126	fashion	Florence	Italy	Commercial & Industrial	design	3	336230746504908
127	fashion	Ad Dawha	Qatar	Retail Company	fashion	2	335666759808570
128	accessories	Bibbiena	Italy	Cosmetics Store	fashion	0	328957503799353
129	hair	Minsk Mazowiecki	Argentina	Company	fashion	0	327840127907
130	accessories	All Over The World	China	Reference Website	fashion	0	322341554594340
131	beauty	Neuilly-sur-Seine	France	Lobbyist	beauty	1	318738881516802
132	design	DÃ¼sseldorf	Brazil	Personal Blog	accessories	1	317292098397541
133	accessories	Misérieux	Italy	Athlete	fashion	0	315109948695185
134	fashion	Turin	Hong Kong	Clothing (Brand)	fashion	2	315104675322958
135	fashion	Sestola	Italy	Mountain	accessories	3	203921259624267
136	food	Turin	Italy	Shopping & Retail	accessories	1	196902740517201
137	fashion	Lisbon	Argentina	Health & Wellness Website	fashion	2	999866376727838
138	blog	Parabiago	Italy	Hotel	blog	1	99747872556
139	food	Milan	Italy	Mexican Restaurant	food	1	995064207186157
140	beauty	Rome	Greece	Health & Wellness Website	fashion	0	97843250991
141	fashion	Woodland Hills	France	Community	food	3	964217340334286
142	fashion	TrÃªs Passos	Brazil	Clothing (Brand)	design	3	958262887553465
143	food	Naples	United States	Clothing (Brand)	food	1	956824751008154
144	blog	Milan	Greece	Photographer	fashion	0	950590928305645
145	beauty	Florence	Russia	Personal Blog	design	1	947818355245551
146	hair	Sestola	Germany	Product/Service	design	1	944833352303913
147	accessories	Porto	Portugal	Furniture	fashion	0	942859305741406
148	accessories	Bandar Baru Enstek	Italy	Artist	accessories	1	936903549721537
149	accessories	Bonita Springs	United States	Local Service	fashion	0	934234786619394
150	fashion	Saluzzo	Hungary	Personal Blog	fashion	2	933080920082381
151	fashion	Shanghai	China	Personal Blog	accessories	3	930412660380034
152	design	Milan	Italy	Event Planner	accessories	1	929249087111390
